Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
26,1675281056271,01/02/2023 19:50:56,1675281055931,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-achievement,D
27,1675281056271,01/02/2023 19:50:56,1675281055931,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-achievement-quantised,4
28,1675281056271,01/02/2023 19:50:56,1675281055936,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-mutualopinions,E
29,1675281056271,01/02/2023 19:50:56,1675281055937,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-mutualopinions-quantised,5
30,1675281056271,01/02/2023 19:50:56,1675281055937,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-similarproblems,E
31,1675281056271,01/02/2023 19:50:56,1675281055938,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-similarproblems-quantised,5
32,1675281056271,01/02/2023 19:50:56,1675281055939,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-similarsituation,E
33,1675281056271,01/02/2023 19:50:56,1675281055939,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-similarsituation-quantised,5
34,1675281056271,01/02/2023 19:50:56,1675281055940,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComaprison-learnmore,D
35,1675281056271,01/02/2023 19:50:56,1675281055942,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComaprison-learnmore-quantised,4
