Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
5,1675212566227,01/02/2023 00:49:26,1675212670108,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,1
6,1675212566227,01/02/2023 00:49:26,1675212670109,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,Asian
7,1675212566227,01/02/2023 00:49:26,1675212670109,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,1
8,1675212566227,01/02/2023 00:49:26,1675212670109,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-text,
9,1675212566227,01/02/2023 00:49:26,1675212670110,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,occupation,student
10,1675212566227,01/02/2023 00:49:26,1675212670110,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,education,4
11,1675212566227,01/02/2023 00:49:26,1675212670110,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use,Yes
12,1675212566227,01/02/2023 00:49:26,1675212670111,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use-quantised,1
13,1675212566227,01/02/2023 00:49:26,1675212670111,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,END QUESTIONNAIRE,22193
1,1675259100570,01/02/2023 13:45:00,1675259100408,1,01/02/2023 14:45:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
